date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:48:46	76843/76843	---M-Z	200	added ('OK')	text/html	etag:%2212c2b-670c837a-6aa0afe234f3c16b;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html	(from )
10:48:47	118/118	---M--	200	added ('OK')	text/plain	etag:%2276-609389fa-51da7defd95d649d;;;%22	https://themeslay.com/robots.txt		(from )
10:48:48	3278/3278	---M--	200	added ('OK')	image/png	etag:%22cce-6707ac28-7b7184aa7bf8974e;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/favicon.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/favicon.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:48	80505/80505	---M-Z	200	added ('OK')	text/css	etag:%2213a79-6707ad40-49a454e28d7151b2;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/css/main.css	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/css/main.css	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:48	54542/54542	---M-Z	200	added ('OK')	text/html	etag:%22d50e-670c8376-404dc23767be5300;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:48	4817/4817	---M--	200	added ('OK')	image/png	etag:%2212d1-6707ac28-b2d14aeba93e56fb;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/brand.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/brand.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:49	24842/24842	---M-Z	200	added ('OK')	text/html	etag:%22610a-670c8370-6325a05125d59cac;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/donations.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/donations.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:49	29449/29449	---M-Z	200	added ('OK')	text/html	etag:%227309-670c8370-9a8d685aeb21ef7f;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/donations-details.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/donations-details.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:49	26749/26749	---M-Z	200	added ('OK')	text/html	etag:%22687d-670c8372-cc8edeee7045ae2;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/events.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/events.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:50	28708/28708	---M-Z	200	added ('OK')	text/html	etag:%227024-670c8373-1de12492d44bbb7d;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/events-details.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/events-details.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
